iso3_country,country_name,emissions_2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,emissions_2025,change_2015_2025,percent_change_2015_2025
GRL,GRL,876480.637901302,886136.875151336,920183.9763417584,953849.6013484248,985856.4989881894,1005580.0533199748,1052349.1195866144,1265955.1011421145,1367648.3612160953,1268227.3876913183,1250576.9154956385,374096.2775943365,42.68163624128597
GTM,GTM,37581551.75520933,38520460.82973317,37899212.35834073,40267491.154022574,41373391.87901013,39172433.58699608,42932052.11480122,42378039.2163127,44972213.35728623,45425696.22454588,46153093.877773054,8571542.12256372,22.8078451320882
GUF,GUF,960033.1378347066,1035618.8827712226,1000663.6523518548,1066680.4865028867,1159244.0805398277,1058821.072864416,970532.468745994,1010563.8795891954,1008378.988623486,1024823.7434563336,1014776.2966602084,54743.1588255018,5.702215545285394
GUM,GUM,2403320.6127830376,2464494.115718808,2463126.941205513,2405208.14542444,2504373.238700131,2400448.379889402,2364173.2424959457,2346803.3746092618,2451882.991797095,2480843.2474635323,2484719.6533264657,81399.04054342816,3.386940556764431
GUY,GUY,8857839.579307955,8742625.416796688,9017882.061086822,8826012.61337071,9262093.8016044,11059968.370225407,13091763.779325835,17209583.18739345,19301186.072463047,21563481.210766744,23987758.7121603,15129919.132852346,170.80823148113973
HKG,HKG,73162896.48584548,74492019.80030343,74821230.55416383,74266557.3456081,73274126.30881354,54935442.41788349,54475739.02912178,53053460.59006183,59421427.3690218,62274721.01334697,62428791.48190457,-10734105.00394091,-14.671514551118944
HMD,HMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HND,HND,23319422.8164752,22743614.59683807,22504680.86236198,21429108.060523547,22772658.213829163,22177506.71232606,23979412.290876582,24777243.30753382,25365716.43528337,26006037.99739738,26492844.98984484,3173422.1733696386,13.608493650741702
HRV,HRV,27046430.118260883,27815150.09420314,28755241.120473605,28128921.363861077,28759292.014563907,27172260.63062461,28738109.29082414,28942966.22322507,30094494.74933866,30299462.407708403,30596483.004759084,3550052.8864982016,13.125772499274571
HTI,HTI,10839323.788421836,11177165.222584594,11205131.086404463,11107084.430185927,11265464.05498197,11118034.006106617,11093281.540936736,11262814.860245712,11417552.147521194,11530003.250501571,11592131.680394469,752807.8919726331,6.945155497400628
HUN,HUN,84861257.03297642,81372311.6040435,88570701.46397652,89415173.92302358,87746579.67877305,83441606.87304942,76333636.93643318,72960390.91556105,69256464.75392205,71214673.9261246,72543487.1439647,-12317769.889011726,-14.515186693764315
IDN,IDN,1201233649.5453546,1173068015.6758742,1225392331.2740593,1320846970.8553855,1358073279.7707283,1320121304.993361,1374572888.7543554,1497935355.4570413,1570125639.5169127,1615986817.7020934,1635942658.8070278,434709009.2616732,36.188547450881245
IMN,IMN,883172.0695369923,890441.1102833854,892841.7230772714,897770.296681411,861688.1054657887,824427.5716668789,832848.1251313533,865285.7608570557,876615.1307218198,877040.6598779445,865212.8407008147,-17959.228836177615,-2.0334914854806083
IND,IND,3222925077.0061355,3264757499.182176,3409510381.9771457,3535237457.719424,3570676564.819078,3380125973.6851563,3641173617.24008,3909266111.179362,4159329470.569369,4304810273.999662,4334488769.409461,1111563692.4033256,34.48928119160275
IOT,IOT,73168.583599299,79015.65833507317,82822.83601444445,87370.25845420144,105830.96303930036,92323.89982354852,100488.77275925364,110775.56848782704,77771.93981752971,114539.64765671884,74249.1359396701,1080.5523403710977,1.4767982202425058
IRL,IRL,75629200.2580627,80170412.01705836,79838381.71446966,77264325.29242319,75098304.72680195,70504734.40388621,74960812.0895179,75023829.36701192,71501604.53975002,72303089.08124565,71923560.20746596,-3705640.050596744,-4.899747766672558
IRN,IRN,950768815.5613052,979893348.253485,1023325448.845893,1034488251.77974,1049599038.4997072,1084099406.1884024,1127348290.733564,1156817553.3654706,1202797137.4883192,1228886361.5419075,1239690071.290264,288921255.7289587,30.38817123575812
IRQ,IRQ,353408891.11182857,411289893.1530007,430758543.3723714,440540956.5230282,465902635.18518746,421466827.61903113,438475803.9055478,469776585.0256985,492887256.9062383,501016887.77367705,516126545.8826731,162717654.77084452,46.04232062722951
