iso3_country,country_name,year,sector,sector_clean,gas,emissions
AFG,AFG,2025,buildings,Buildings,co2e_100yr,1337343.770685803
AFG,AFG,2025,fluorinated-gases,Fluorinated Gases,co2e_100yr,1111995.4041889997
AFG,AFG,2025,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1552021.159118824
AFG,AFG,2025,manufacturing,Manufacturing,co2e_100yr,4527359.157858511
AFG,AFG,2025,mineral-extraction,Mineral Extraction,co2e_100yr,77083.29697264459
AFG,AFG,2025,power,Power,co2e_100yr,2921894.575330384
AFG,AFG,2025,transportation,Transportation,co2e_100yr,12710451.437801337
AFG,AFG,2025,waste,Waste,co2e_100yr,5460363.32281285
AGO,AGO,2015,agriculture,Agriculture,co2e_100yr,12617788.987269456
AGO,AGO,2015,buildings,Buildings,co2e_100yr,7715647.954636279
AGO,AGO,2015,fluorinated-gases,Fluorinated Gases,co2e_100yr,326506.90380799986
AGO,AGO,2015,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,52277887.27896363
AGO,AGO,2015,manufacturing,Manufacturing,co2e_100yr,8239103.693178541
AGO,AGO,2015,mineral-extraction,Mineral Extraction,co2e_100yr,523.0
AGO,AGO,2015,power,Power,co2e_100yr,6656938.807053724
AGO,AGO,2015,transportation,Transportation,co2e_100yr,18254598.255139597
AGO,AGO,2015,waste,Waste,co2e_100yr,3344195.2477463605
AGO,AGO,2016,agriculture,Agriculture,co2e_100yr,12749724.081857204
AGO,AGO,2016,buildings,Buildings,co2e_100yr,7413567.4256720925
AGO,AGO,2016,fluorinated-gases,Fluorinated Gases,co2e_100yr,371445.385554
AGO,AGO,2016,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,52400942.98102589
AGO,AGO,2016,manufacturing,Manufacturing,co2e_100yr,7375075.505274221
AGO,AGO,2016,mineral-extraction,Mineral Extraction,co2e_100yr,552.0
AGO,AGO,2016,power,Power,co2e_100yr,6812237.727156173
AGO,AGO,2016,transportation,Transportation,co2e_100yr,18201157.72572681
AGO,AGO,2016,waste,Waste,co2e_100yr,3435259.476946255
AGO,AGO,2017,agriculture,Agriculture,co2e_100yr,12523389.585553445
AGO,AGO,2017,buildings,Buildings,co2e_100yr,7635812.105842759
AGO,AGO,2017,fluorinated-gases,Fluorinated Gases,co2e_100yr,415804.0144779997
AGO,AGO,2017,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,54859494.37069504
AGO,AGO,2017,manufacturing,Manufacturing,co2e_100yr,5092778.079009623
AGO,AGO,2017,mineral-extraction,Mineral Extraction,co2e_100yr,579.0
AGO,AGO,2017,power,Power,co2e_100yr,4589873.4231411535
AGO,AGO,2017,transportation,Transportation,co2e_100yr,15991855.681640074
AGO,AGO,2017,waste,Waste,co2e_100yr,3527266.489945925
AGO,AGO,2018,agriculture,Agriculture,co2e_100yr,12463568.775833402
AGO,AGO,2018,buildings,Buildings,co2e_100yr,7561206.354040194
AGO,AGO,2018,fluorinated-gases,Fluorinated Gases,co2e_100yr,470112.8891879997
AGO,AGO,2018,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,51040338.53942053
AGO,AGO,2018,manufacturing,Manufacturing,co2e_100yr,5805476.173663992
AGO,AGO,2018,mineral-extraction,Mineral Extraction,co2e_100yr,596.0
AGO,AGO,2018,power,Power,co2e_100yr,3974582.286369087
AGO,AGO,2018,transportation,Transportation,co2e_100yr,16650871.73501872
AGO,AGO,2018,waste,Waste,co2e_100yr,3632178.908782349
AGO,AGO,2019,agriculture,Agriculture,co2e_100yr,12407954.859554855
AGO,AGO,2019,buildings,Buildings,co2e_100yr,8264524.395321801
AGO,AGO,2019,fluorinated-gases,Fluorinated Gases,co2e_100yr,517981.55461999984
AGO,AGO,2019,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,48218690.86488199
AGO,AGO,2019,manufacturing,Manufacturing,co2e_100yr,5626721.964053407
AGO,AGO,2019,mineral-extraction,Mineral Extraction,co2e_100yr,613.0
AGO,AGO,2019,power,Power,co2e_100yr,4470106.010851339
AGO,AGO,2019,transportation,Transportation,co2e_100yr,18763705.161462765
AGO,AGO,2019,waste,Waste,co2e_100yr,3755614.598214372
AGO,AGO,2020,agriculture,Agriculture,co2e_100yr,12932996.473593522
AGO,AGO,2020,buildings,Buildings,co2e_100yr,7346100.2075555315
AGO,AGO,2020,fluorinated-gases,Fluorinated Gases,co2e_100yr,566826.9406859997
AGO,AGO,2020,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,45984729.76923835
AGO,AGO,2020,manufacturing,Manufacturing,co2e_100yr,4960493.524042267
AGO,AGO,2020,mineral-extraction,Mineral Extraction,co2e_100yr,640.0
AGO,AGO,2020,power,Power,co2e_100yr,4281227.674819865
AGO,AGO,2020,transportation,Transportation,co2e_100yr,10076600.335513178
AGO,AGO,2020,waste,Waste,co2e_100yr,3886577.0969616594
AGO,AGO,2021,agriculture,Agriculture,co2e_100yr,12967202.526702566
AGO,AGO,2021,buildings,Buildings,co2e_100yr,8181204.065897468
AGO,AGO,2021,fluorinated-gases,Fluorinated Gases,co2e_100yr,617167.9136439997
AGO,AGO,2021,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,40314924.096357256
AGO,AGO,2021,manufacturing,Manufacturing,co2e_100yr,4308135.048178444
AGO,AGO,2021,mineral-extraction,Mineral Extraction,co2e_100yr,663.0
AGO,AGO,2021,power,Power,co2e_100yr,4332407.255433993
AGO,AGO,2021,transportation,Transportation,co2e_100yr,17672032.56745877
AGO,AGO,2021,waste,Waste,co2e_100yr,4026939.087952374
AGO,AGO,2022,agriculture,Agriculture,co2e_100yr,13092872.870495304
AGO,AGO,2022,buildings,Buildings,co2e_100yr,9126924.937087549
AGO,AGO,2022,fluorinated-gases,Fluorinated Gases,co2e_100yr,666186.2600239996
AGO,AGO,2022,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,39880068.82060469
AGO,AGO,2022,manufacturing,Manufacturing,co2e_100yr,6124455.12134409
AGO,AGO,2022,mineral-extraction,Mineral Extraction,co2e_100yr,685.0
AGO,AGO,2022,power,Power,co2e_100yr,4424927.449696358
AGO,AGO,2022,transportation,Transportation,co2e_100yr,18185560.206025995
AGO,AGO,2022,waste,Waste,co2e_100yr,4163962.080348314
AGO,AGO,2023,agriculture,Agriculture,co2e_100yr,13247508.723747132
AGO,AGO,2023,buildings,Buildings,co2e_100yr,9442208.652729986
AGO,AGO,2023,fluorinated-gases,Fluorinated Gases,co2e_100yr,715587.8223339998
AGO,AGO,2023,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,40111589.30321933
AGO,AGO,2023,manufacturing,Manufacturing,co2e_100yr,6081281.789736157
AGO,AGO,2023,mineral-extraction,Mineral Extraction,co2e_100yr,707.0
AGO,AGO,2023,power,Power,co2e_100yr,4425037.207967499
AGO,AGO,2023,transportation,Transportation,co2e_100yr,18340985.265210688
AGO,AGO,2023,waste,Waste,co2e_100yr,4275294.516462444
AGO,AGO,2024,agriculture,Agriculture,co2e_100yr,13227219.268857809
AGO,AGO,2024,buildings,Buildings,co2e_100yr,9703997.085830348
AGO,AGO,2024,fluorinated-gases,Fluorinated Gases,co2e_100yr,764797.7810999998
AGO,AGO,2024,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,37224784.40007946
AGO,AGO,2024,manufacturing,Manufacturing,co2e_100yr,6400783.701703157
AGO,AGO,2024,mineral-extraction,Mineral Extraction,co2e_100yr,729.0
AGO,AGO,2024,power,Power,co2e_100yr,4437756.389109063
AGO,AGO,2024,transportation,Transportation,co2e_100yr,18435494.68521756
AGO,AGO,2024,waste,Waste,co2e_100yr,4393499.20607083
AGO,AGO,2025,agriculture,Agriculture,co2e_100yr,13194607.565610925
