iso3_country,country_name,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste,emissions_2025,change_2015_2025,percent_change_2015_2025,cluster,PC1,PC2
GUM,GUM,0.0,7.429388090236416e-05,0.0,0.0,0.05356464740668304,0.0,0.5634836904540079,0.3433810914848085,0.039496276773598175,2484719.6533264657,81399.04054342816,3.386940556764431,1,-0.6759383645617295,1.7841184789394307
GUY,GUY,0.2388617403327717,0.012955853461059407,0.0,0.5593162971096018,0.03192462757384449,0.025305785566986157,0.05837704746752819,0.052215390366010556,0.02104325812219776,23987758.7121603,15129919.132852346,170.80823148113973,3,-0.748913422497727,-4.4654512163824185
HKG,HKG,0.0005841122591740343,0.02602865580393303,0.003987620565619272,0.00809094923563928,0.02953243172381236,0.0,0.4381855282968599,0.3842611045268135,0.10932959758814866,62428791.48190457,-10734105.00394091,-14.671514551118944,1,-0.04423373052126279,2.245204545626673
HND,HND,0.2875317686464021,0.057670312810181444,0.03546798882812257,0.0013441060435996817,0.08118046730908288,0.0007297518268991522,0.15564712295205826,0.23013784008834967,0.15029064149530424,26492844.98984484,3173422.1733696386,13.608493650741702,2,-1.2389320068706084,-0.24986433164785743
HRV,HRV,0.05969544829749317,0.10581528638341917,0.07841739277881461,0.07105978903679766,0.15293844353958774,0.0005244660418111221,0.08056898746325968,0.4077426774074631,0.04323750905135368,30596483.004759084,3550052.8864982016,13.125772499274571,0,0.17167328102832966,0.5761221497843406
HTI,HTI,0.38551144416872096,0.10630867630137762,0.0,0.00551815195312923,0.08225953899099164,0.0,0.07398146411092328,0.19035843676458,0.15606228771027733,11592131.680394469,752807.8919726331,6.945155497400628,2,-1.573006955048606,-0.2992748151371472
HUN,HUN,0.14524999811538464,0.14509036362819877,0.03650095694487569,0.09010662001749212,0.19426202815217894,0.001011743360368683,0.09054356226337847,0.24558729632419468,0.05164743119392795,72543487.1439647,-12317769.889011726,-14.515186693764315,0,1.5340677487045613,1.2002625435504344
IDN,IDN,0.2577214097351891,0.022067430775639368,0.01280439549151758,0.223048550902467,0.10877084236419417,0.002291832691422426,0.2239138411223321,0.1232052083062237,0.026176488611014688,1635942658.8070278,434709009.2616732,36.188547450881245,3,1.166599193484404,-2.1071921994779745
IND,IND,0.2079969153226351,0.07275225345815663,0.019378158701651344,0.05793016320233983,0.18890502444141533,0.003106810744182787,0.3491506259716462,0.0644581916454437,0.03632185651252911,4334488769.409461,1111563692.4033256,34.48928119160275,3,1.7647664317659604,-1.6128748960720065
IRL,IRL,0.41180877328196197,0.10855285478790226,0.010966736272862931,0.034651873298724004,0.09627379613588159,0.00046956915683811306,0.09860071357559913,0.2184792267602932,0.020196456729936772,71923560.20746596,-3705640.050596744,-4.899747766672558,0,0.5717417130702764,0.240291720038768
IRN,IRN,0.031038963848981988,0.15021034532683078,0.01868621701812844,0.3199011984983375,0.20500668832499824,0.005942064937030582,0.18411156264979595,0.07149863292438231,0.013604326471514236,1239690071.290264,288921255.7289587,30.38817123575812,3,2.559322668152932,-1.4167948210060692
IRQ,IRQ,0.01814556828089048,0.023314457723221656,0.01029624569255933,0.5221339086271928,0.07408822668034651,1.0268799468424947e-07,0.24495990893423453,0.07933254238744648,0.027729038986113716,516126545.8826731,162717654.77084452,46.04232062722951,3,1.8211484015026405,-2.0922572704689086
ISL,ISL,0.1190601705750173,0.04668550474727022,0.027362112267980045,0.0,0.28100493795032044,0.0,0.0006841955895690447,0.4949443425595806,0.030258736310262352,9836851.4799131,1613267.2499886935,19.617568263218523,1,-0.2934526825092614,0.7583439791837966
ISR,ISR,0.019690127708611182,0.029073743466388066,0.08152491476646201,0.15903875303540502,0.10565742191935625,3.231461947767742e-05,0.3747704267070804,0.15731408467822391,0.07289821309899551,93951283.5506936,9651875.065422503,11.449516952552395,3,1.0560584134831845,-0.09157748252857435
ITA,ITA,0.0895810765589848,0.1496347805703407,0.0435947123954197,0.05359610165294111,0.14057207071076044,0.0005861012118054441,0.18784776090441282,0.2928450845674465,0.0417423114278885,377644987.1676097,-70586096.07552326,-15.747702181830933,0,1.7828822355401959,1.4135151155925283
