iso3_country,country_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,change_2015_2025,percent_change_2015_2025,archetype
GNB,GNB,3941767.958180697,4117732.6442891513,3875226.8173575453,3940703.429634617,4135404.7890757145,4216819.381816243,3839985.3509912235,4001217.5481678303,4028921.349512655,4115438.816273985,4110785.7868875363,169017.82870683912,4.2878685528929115,"Lower-emitting, stable/moderate growth"
GNQ,GNQ,21578942.587922342,19916407.760084473,18185332.27916817,15855101.437198447,14860314.989146613,13676487.366653528,13142107.027263045,13092799.86744875,11630477.010456286,11660750.984778425,11210839.441264456,-10368103.146657886,-48.04731790917724,"Lower-emitting, declining"
GRC,GRC,113244549.66619998,113986977.53244972,114745336.11612424,112072291.47737826,105379282.79848577,91333021.87981515,94035863.18017332,97271294.66493498,93782498.2916203,94568062.98463435,92032100.0838043,-21212449.582395688,-18.73154129264638,"Lower-emitting, declining"
GRD,GRD,440825.9403196168,504137.37868464616,535608.3103427672,560226.5289353915,619105.266688349,515793.9483970395,532565.8173860648,651173.6366802398,664918.2425038352,680179.2136499967,699879.5799005927,259053.63958097587,58.765516247331405,"Lower-emitting, fast-growing"
GRL,GRL,876480.637901302,886136.875151336,920183.9763417585,953849.6013484249,985856.4989881894,1005580.0533199748,1052349.1195866144,1265955.1011421143,1367648.3612160953,1268227.3876913185,1250576.9154956385,374096.27759433654,42.68163624128597,"Lower-emitting, fast-growing"
GTM,GTM,37581551.755209334,38520460.82973317,37899212.35834073,40267491.154022574,41373391.87901013,39172433.58699608,42932052.11480122,42378039.2163127,44972213.35728623,45425696.22454588,46153093.877773054,8571542.12256372,22.8078451320882,"Lower-emitting, stable/moderate growth"
GUF,GUF,960033.1378347066,1035618.8827712226,1000663.6523518547,1066680.4865028867,1159244.0805398275,1058821.072864416,970532.468745994,1010563.8795891954,1008378.9886234861,1024823.7434563336,1014776.2966602084,54743.1588255018,5.702215545285394,"Lower-emitting, stable/moderate growth"
GUM,GUM,2403320.6127830376,2464494.1157188076,2463126.941205513,2405208.1454244396,2504373.238700131,2400448.379889402,2364173.2424959457,2346803.3746092618,2451882.991797095,2480843.2474635323,2484719.6533264657,81399.04054342816,3.386940556764431,"Lower-emitting, stable/moderate growth"
GUY,GUY,8857839.579307955,8742625.416796688,9017882.061086822,8826012.61337071,9262093.801604401,11059968.370225409,13091763.779325835,17209583.18739345,19301186.072463047,21563481.210766744,23987758.7121603,15129919.132852346,170.80823148113973,"Lower-emitting, fast-growing"
HKG,HKG,73162896.48584548,74492019.80030343,74821230.55416383,74266557.3456081,73274126.30881354,54935442.41788349,54475739.02912178,53053460.59006183,59421427.3690218,62274721.01334697,62428791.48190457,-10734105.00394091,-14.671514551118944,"Lower-emitting, declining"
HMD,HMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Undefined baseline
HND,HND,23319422.816475198,22743614.59683807,22504680.86236198,21429108.060523547,22772658.213829163,22177506.71232606,23979412.290876582,24777243.30753382,25365716.435283374,26006037.99739738,26492844.989844836,3173422.1733696386,13.608493650741702,"Lower-emitting, stable/moderate growth"
HRV,HRV,27046430.118260883,27815150.09420314,28755241.120473605,28128921.363861073,28759292.014563907,27172260.630624615,28738109.29082414,28942966.22322507,30094494.74933866,30299462.407708403,30596483.004759084,3550052.8864982016,13.125772499274571,"Lower-emitting, stable/moderate growth"
HTI,HTI,10839323.788421836,11177165.222584594,11205131.086404465,11107084.430185927,11265464.05498197,11118034.006106617,11093281.540936735,11262814.860245712,11417552.147521194,11530003.250501573,11592131.680394469,752807.8919726331,6.945155497400628,"Lower-emitting, stable/moderate growth"
HUN,HUN,84861257.03297642,81372311.6040435,88570701.46397652,89415173.92302358,87746579.67877305,83441606.87304942,76333636.93643318,72960390.91556105,69256464.75392205,71214673.9261246,72543487.1439647,-12317769.889011726,-14.515186693764315,"Lower-emitting, declining"
IDN,IDN,1201233649.5453546,1173068015.6758742,1225392331.2740593,1320846970.8553855,1358073279.7707283,1320121304.993361,1374572888.7543554,1497935355.4570413,1570125639.5169127,1615986817.7020934,1635942658.8070278,434709009.2616732,36.188547450881245,"High-emitting, fast-growing"
