iso3_country,country_name,cluster,PC1,PC2,emissions_2025,change_2015_2025,percent_change_2015_2025
OMN,OMN,3,2.2979556882955388,-1.2080928208852528,183930420.85161367,32658447.47321877,21.58922551471332
PAK,PAK,2,0.2795635188495173,-2.023641686904877,616235371.0363815,164634774.76363087,36.45583644539684
PAN,PAN,1,-1.0050858597401728,0.3414407418023475,29377920.7743836,5542778.474092975,23.25464813367358
PER,PER,2,-0.4566576816702318,-1.0435210701605522,130337765.2527122,18217922.0024956,16.248615298042175
PHL,PHL,3,0.2768761292806484,-1.0945996633015431,258024809.5229494,87475427.06137073,51.2903804158172
PNG,PNG,2,-0.2372220357519851,-2.070275251287925,45585471.72332593,3040489.6013400257,7.146529272529172
POL,POL,0,2.0148874688445084,0.8128794248156718,390644528.6159805,-38375232.35552257,-8.944863581253914
PRI,PRI,0,0.7315984027588482,1.9403093837303056,33066997.296381205,-864422.0652678534,-2.5475564580857624
PRK,PRK,0,2.410922368926963,-0.069213303722383,118943754.08883716,5610626.0086841285,4.95056132635473
PRT,PRT,0,0.9515958640743865,1.5819745549348871,85877896.74207184,-9182433.999976724,-9.659585579282028
PRY,PRY,2,-1.1604133416067886,-1.887053081609196,41730065.19016761,2359083.837168888,5.991935573099972
PSE,PSE,1,-2.465840009383575,1.2931393275019882,6342750.43973492,1399846.0930254897,28.32031524052028
PYF,PYF,1,-2.281187464441956,1.5153173325615732,2677713.836958961,837405.8774895736,45.50357309387616
QAT,QAT,3,2.5559014018504023,-1.4755771172642544,245616081.3416025,15461287.097300231,6.717777549699247
REU,REU,1,-0.0291558019021606,1.1465210292343306,6838946.283523412,995661.3641948514,17.039411528631412
ROU,ROU,0,1.3672516038740032,1.2273825972431744,118430913.78993715,-26806102.399083763,-18.45679779333703
RUS,RUS,3,2.151362188301732,-1.2241752922620903,2976502796.200675,235498310.2064252,8.59167912383049
RWA,RWA,2,-2.2002811513088507,-0.3994161243778879,14273320.25550584,1990834.8423041347,16.2087295472324
SAU,SAU,3,2.786237716929095,-1.074710671539368,1059226710.4121132,95810399.23016608,9.94485957089756
SDN,SDN,2,-0.9736062319521456,-1.680818459886829,144723981.62670717,1923510.5412572024,1.3469917337360873
SEN,SEN,2,-0.9050441131954502,-0.6618056297294079,45280156.53803429,12511775.718499854,38.1824655524057
SGP,SGP,3,1.3164873806821995,0.1976389329489172,114827446.72568524,16238628.900998428,16.471065643442824
SLE,SLE,2,-1.4285298830643207,0.7012842193676873,9201052.741666216,-1183703.4342409167,-11.398471126237276
SLV,SLV,2,-0.830160108588418,0.3239821908995643,14827042.138402907,1815659.766008038,13.954395574909606
SOM,SOM,2,-1.4031855438777443,-1.6416761671142566,40773960.876084425,4329716.267860211,11.880384171505488
SRB,SRB,3,0.7435344492700485,0.1774084824115147,64093351.55071187,1020960.490930952,1.6187122031940588
SSD,SSD,2,-1.078920321511544,-2.724968862872407,55106090.63411892,5270705.858663395,10.57623189308508
SUR,SUR,0,-0.0375832328837786,1.000856243162462,5972223.007137812,-339330.8290418042,-5.37634373166024
SVK,SVK,0,2.407758259852142,1.1030320034806005,42551438.850452825,-3354782.3488105014,-7.307903506691455
SVN,SVN,0,0.7434419175918089,1.648828640790091,15668245.454454076,-1347590.4579592962,-7.919625370718364
SWE,SWE,0,0.8579265009311828,0.771693646732794,83188427.69424158,-1028660.571240902,-1.2214392499515
SWZ,SWZ,2,-2.0099974257576423,0.2319010205252454,3822466.0699421726,514269.1418027533,15.545300143059688
SYC,SYC,1,-1.891679470617743,1.182787642749385,1597092.3798797452,545823.4650210848,51.92044179242843
SYR,SYR,3,1.0896872790628942,-0.5834603934302282,76187854.83967601,8893113.790870532,13.215169049273564
TCD,TCD,2,-1.3941472002407644,-3.723827751312181,136388547.7607913,50208157.30365303,58.259375523047794
TGO,TGO,2,-1.273883896469223,-0.4794894427340136,11564740.39205059,3192662.4496828355,38.13464795312095
THA,THA,3,1.057033578314822,-1.2831762852847184,503472966.4787769,74166098.52005225,17.275777318145042
TJK,TJK,2,-0.2580354157519913,-0.3480497641088541,27517806.398735978,6207581.764830917,29.12959328900978
TKM,TKM,3,2.8303897143318872,-0.4291874568215743,240154822.7535073,-1322102.6017784476,-0.547506806223093
TLS,TLS,0,-0.5928011353570848,1.5410177516813517,2127802.667026138,-5540772.675951772,-72.25296001069404
