iso3_country,country_name,year,sector,sector_clean,emissions
AGO,AGO,2022,fossil-fuel-operations,Fossil Fuel Operations,39880068.82060469
AGO,AGO,2022,manufacturing,Manufacturing,6124455.12134409
AGO,AGO,2022,mineral-extraction,Mineral Extraction,685.0
AGO,AGO,2022,power,Power,4424927.449696358
AGO,AGO,2022,transportation,Transportation,18185560.206025995
AGO,AGO,2022,waste,Waste,4163962.080348314
AGO,AGO,2023,agriculture,Agriculture,13247508.723747132
AGO,AGO,2023,buildings,Buildings,9442208.652729986
AGO,AGO,2023,fluorinated-gases,Fluorinated Gases,715587.8223339998
AGO,AGO,2023,fossil-fuel-operations,Fossil Fuel Operations,40111589.30321933
AGO,AGO,2023,manufacturing,Manufacturing,6081281.789736157
AGO,AGO,2023,mineral-extraction,Mineral Extraction,707.0
AGO,AGO,2023,power,Power,4425037.207967499
AGO,AGO,2023,transportation,Transportation,18340985.265210688
AGO,AGO,2023,waste,Waste,4275294.516462444
AGO,AGO,2024,agriculture,Agriculture,13227219.268857809
AGO,AGO,2024,buildings,Buildings,9703997.085830348
AGO,AGO,2024,fluorinated-gases,Fluorinated Gases,764797.7810999998
AGO,AGO,2024,fossil-fuel-operations,Fossil Fuel Operations,37224784.40007946
AGO,AGO,2024,manufacturing,Manufacturing,6400783.701703157
AGO,AGO,2024,mineral-extraction,Mineral Extraction,729.0
AGO,AGO,2024,power,Power,4437756.389109063
AGO,AGO,2024,transportation,Transportation,18435494.68521756
AGO,AGO,2024,waste,Waste,4393499.20607083
AGO,AGO,2025,agriculture,Agriculture,13194607.565610925
AGO,AGO,2025,buildings,Buildings,9965485.21121635
AGO,AGO,2025,fluorinated-gases,Fluorinated Gases,764797.7810999996
AGO,AGO,2025,fossil-fuel-operations,Fossil Fuel Operations,35569506.12976925
AGO,AGO,2025,manufacturing,Manufacturing,6440022.207308699
AGO,AGO,2025,mineral-extraction,Mineral Extraction,729.0
AGO,AGO,2025,power,Power,4425201.389109063
AGO,AGO,2025,transportation,Transportation,18505157.1312463
AGO,AGO,2025,waste,Waste,4504489.29431263
AIA,AIA,2015,agriculture,Agriculture,0.0
AIA,AIA,2015,buildings,Buildings,1010.2778681771148
AIA,AIA,2015,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2015,fossil-fuel-operations,Fossil Fuel Operations,388.1093449999998
AIA,AIA,2015,manufacturing,Manufacturing,0.7239930000285679
AIA,AIA,2015,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2015,power,Power,96141.09155540576
AIA,AIA,2015,transportation,Transportation,47354.42152769999
AIA,AIA,2015,waste,Waste,3821.501412344234
AIA,AIA,2016,agriculture,Agriculture,0.0
AIA,AIA,2016,buildings,Buildings,1049.0715039935217
