iso3_country,country_name,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste,emissions_2025,change_2015_2025,percent_change_2015_2025,cluster,PC1,PC2
ERI,ERI,0.5697628963789785,0.0300599796569197,0.0,0.0,0.0178290733083754,0.0922901480912643,0.034997436596966,0.212576743098858,0.0424837228686379,10429076.341368493,-129883.74671538174,-1.2300808567498964,4,-1.736794979413947,-0.7208258541406597
ESH,ESH,3.84308697905919e-06,0.0373554563663184,0.0,0.0,0.0014102265060405,0.0,0.0431525076869889,0.7677119895340245,0.1503659768196485,1227513.201159672,199671.57912332783,19.42629825865016,1,-3.580381180786845,2.0883669721399936
ESP,ESP,0.1279611121342838,0.0933151794156894,0.0133975239087363,0.0590274138404191,0.1579239893488271,0.0015091764564664,0.1055504767159008,0.3782888041261825,0.0630263240534943,330696959.1526993,-36682806.55179113,-9.984982836887566,0,1.042011374941456,1.22161473516621
EST,EST,0.3606465271851705,0.0398514470472833,0.009988081357005,0.2139219773758339,0.0269507974459111,0.0017623183337488,0.1301295985403778,0.1972838054313651,0.0194654472833042,20182675.301159665,-9987943.10129232,-33.10486702016222,0,0.67883349404371,0.4438573134289429
ETH,ETH,0.7276239885973781,0.0878666413411072,3.176325576798681e-06,0.0011605129539545,0.0364410894935732,0.0001907887111767,9.052150811870015e-06,0.1049336995749073,0.0417710508515141,263815399.1898264,65653917.97537452,33.131523630630994,2,-0.9509499931150448,-2.678034674896061
FIN,FIN,0.2603534812894801,0.0590743165254087,0.0110009517678811,0.0488052066876357,0.2196936715336878,0.001062082523467,0.096804611848546,0.2838825225512554,0.019323155272638,74452429.82507439,-14573463.27575697,-16.369915277627108,0,1.315794511203238,0.920268533909041
FJI,FJI,0.058916358826277,0.0793235464546997,0.0680369278206157,5.91201425725819e-09,0.0600178750699449,0.0030714156377015,0.0895227757980094,0.5183931369428789,0.1227179575378584,3976692.625721667,-4835303.17712683,-54.87182796391945,0,-0.6872044608477283,3.10292153727094
FLK,FLK,0.9445502291487858,0.000280901097501,0.0,0.0,0.0001224891492524,0.0,0.0013946469809927,0.0535029952477732,0.0001487383756946,6963361.528737822,45943.46450834628,0.6641707076506425,2,-1.5406655562829932,-2.3153179765986684
FRA,FRA,0.1549482564617689,0.1504686565566839,0.01788388860956,0.0457749164208796,0.1599971292031443,0.0017296594159196,0.0520374499193802,0.3635109560648586,0.0536490873478047,439095771.359798,-71290038.59465057,-13.96787238285742,0,1.2587403676788809,1.2233626274381637
FRO,FRO,0.1888220084033381,0.0,0.0,0.0,0.0004342528065606,0.0,0.1354350975877177,0.6586169148905063,0.0166917263118769,1623242.452774199,393672.105509514,32.01704614829733,1,-2.635867469550165,1.0360423376286747
GAB,GAB,0.0322326940054285,0.0240525680075606,0.05295156775194,0.6886447520019079,0.0366070646983365,0.0,0.0534484087042078,0.095687303139664,0.0163756416909544,26901531.20744589,-3924502.1252443343,-12.731129181912936,3,2.5465836497004606,-0.4349468945398433
GBR,GBR,0.1663823525195025,0.1888901897287964,0.0251817713674542,0.069275904525428,0.0962551561334577,6.204580368212445e-05,0.1246664161892916,0.2973607533612322,0.0319254103711552,451166691.01038885,-127498198.23486102,-22.03316644995628,0,1.5821232059124315,1.2531422427799002
GEO,GEO,0.104405207774268,0.1537620826446687,0.0241422395879085,0.0188659370513095,0.1726576165610285,0.0056040191366663,0.0649983774410047,0.3785786389103152,0.0769858808928303,23110883.919047967,4561614.471221,24.591882090296497,2,-0.5002958042611905,0.4975883992379191
GHA,GHA,0.1734105921653776,0.036693660643808,0.045964615575565,0.0963355182054957,0.1165073556680063,0.0004537692083225,0.1274613201144962,0.3309177326492763,0.0722554357696522,58990340.26340093,18460949.780946605,45.54953716596992,2,-0.5204389201107471,-0.6733669719597696
GIN,GIN,0.5506503721283224,0.0350522744717635,0.0217844055548333,0.001294322387817,0.0954950631982704,0.0625523987333088,0.017623071407268,0.1620113146982994,0.0535367774201169,48986318.862128966,10109828.56809046,26.00499297036788,4,-1.367489485721157,-2.0340505311498056
