iso3_country,emissions_2015,emissions_2025,change_2015_2025,percent_change_2015_2025
GGY,768712.4612780976,861339.1433433319,92626.68206523429,12.049587684740898
GHA,40529390.48245432,58990340.26340093,18460949.780946605,45.549537165969916
GIB,971840.6087950217,783319.0115363384,-188521.5972586833,-19.39840705899601
GIN,38876490.294038504,48986318.862128966,10109828.568090461,26.004992970367873
GLP,3081393.9610144994,2760068.983136106,-321324.9778783936,-10.427909639071355
GMB,3620269.187172357,3635333.900060462,15064.712888104841,0.41612134648670335
GNB,3941767.958180697,4110785.7868875363,169017.82870683912,4.2878685528929115
GNQ,21578942.587922342,11210839.441264456,-10368103.146657886,-48.04731790917724
GRC,113244549.66619998,92032100.0838043,-21212449.582395688,-18.73154129264638
GRD,440825.9403196168,699879.5799005927,259053.63958097587,58.765516247331405
GRL,876480.637901302,1250576.9154956385,374096.27759433654,42.68163624128597
GTM,37581551.755209334,46153093.877773054,8571542.12256372,22.8078451320882
GUF,960033.1378347066,1014776.2966602084,54743.1588255018,5.702215545285394
GUM,2403320.6127830376,2484719.6533264657,81399.04054342816,3.386940556764431
GUY,8857839.579307955,23987758.7121603,15129919.132852346,170.80823148113973
HKG,73162896.48584548,62428791.48190457,-10734105.00394091,-14.671514551118944
HMD,0.0,0.0,0.0,
HND,23319422.816475198,26492844.989844836,3173422.1733696386,13.608493650741702
HRV,27046430.118260883,30596483.004759084,3550052.8864982016,13.125772499274571
HTI,10839323.788421836,11592131.680394469,752807.8919726331,6.945155497400628
HUN,84861257.03297642,72543487.1439647,-12317769.889011726,-14.515186693764315
IDN,1201233649.5453546,1635942658.8070278,434709009.2616732,36.188547450881245
IMN,883172.0695369923,865212.8407008147,-17959.228836177615,-2.0334914854806083
IND,3222925077.0061355,4334488769.409461,1111563692.4033256,34.48928119160275
IOT,73168.583599299,74249.1359396701,1080.5523403710977,1.4767982202425058
IRL,75629200.2580627,71923560.20746596,-3705640.050596744,-4.899747766672558
IRN,950768815.5613052,1239690071.290264,288921255.7289587,30.388171235758122
IRQ,353408891.11182857,516126545.8826731,162717654.77084452,46.04232062722951
ISL,8223584.229924407,9836851.4799131,1613267.2499886937,19.617568263218523
ISR,84299408.48527108,93951283.55069359,9651875.065422505,11.449516952552395
ITA,448231083.24313295,377644987.1676097,-70586096.07552326,-15.747702181830931
JAM,10547344.20744506,11230799.380855726,683455.1734106652,6.479879294431619
JEY,974317.6752823021,1070884.1204534462,96566.44517114409,9.911186835768387
JOR,37967969.44498815,38921969.0898326,953999.64484445,2.512643311691192
JPN,1572615524.4759512,1288640112.983194,-283975411.4927571,-18.057523092771664
KAZ,313853597.1143459,398779125.6152464,84925528.5009005,27.058962931038096
KEN,86655598.08870713,116662518.23243476,30006920.14372763,34.627791862921896
KGZ,23747344.81626748,25037182.69744239,1289837.8811749108,5.431503568733049
KHM,31836456.16844417,50095207.43147132,18258751.263027146,57.35170763486218
KIR,321344.75481069245,320366.04704621166,-978.7077644807869,-0.30456627961995325
KNA,495497.3539852367,558198.5389481876,62701.18496295088,12.65419168410313
KOR,750981919.5483124,714434190.2232554,-36547729.32505703,-4.8666590198388695
KWT,175449539.37469986,220693091.15700698,45243551.78230712,25.787216052863187
LAO,18665421.777236704,41324280.14718853,22658858.369951826,121.39483715061448
LBN,38027111.31501058,21361245.54586787,-16665865.769142706,-43.82627339501365
LBR,5818840.779238443,5830541.458344038,11700.679105594754,0.2010826477215641
LBY,104333720.33884463,143259229.22954473,38925508.8907001,37.30865607426029
LCA,894663.357391264,1036301.6033204887,141638.24592922465,15.831457135142493
LIE,113132.56660187256,101313.70459494121,-11818.862006931347,-10.446914060142715
LKA,36480232.11304415,43965575.6451211,7485343.532076947,20.51890324842651
LSO,4622676.484519489,5137468.995548119,514792.5110286297,11.136243532347052
LTU,34604699.557320744,32301866.047831036,-2302833.5094897076,-6.654684302850811
LUX,6759084.641620184,6249361.417842818,-509723.22377736587,-7.541305528838338
LVA,19636748.700732373,20086010.805062965,449262.10433059186,2.287864000183677
MAC,2270085.7584726335,2420401.7243549954,150315.96588236187,6.621598559496622
MAF,311490.7385047946,465012.6337130314,153521.89520823682,49.286182936021305
