iso3_country,year,sector,gas,emissions_quantity_units,temporal_granularity,sector_emissions_quantity
AFG,2024,manufacturing,co2e_100yr,tonnes,annual,4651479.555242027
AFG,2024,mineral-extraction,co2e_100yr,tonnes,annual,77083.29697264459
AFG,2024,power,co2e_100yr,tonnes,annual,2922106.5753303845
AFG,2024,transportation,co2e_100yr,tonnes,annual,12068667.79373436
AFG,2024,waste,co2e_100yr,tonnes,annual,5422508.995491298
AFG,2025,agriculture,co2e_100yr,tonnes,annual,18076240.94143744
AFG,2025,buildings,co2e_100yr,tonnes,annual,1337343.7706858027
AFG,2025,fluorinated-gases,co2e_100yr,tonnes,annual,1111995.4041889997
AFG,2025,forestry-and-land-use,co2e_100yr,tonnes,annual,44956.321014880305
AFG,2025,fossil-fuel-operations,co2e_100yr,tonnes,annual,1552021.159118824
AFG,2025,manufacturing,co2e_100yr,tonnes,annual,4527359.157858511
AFG,2025,mineral-extraction,co2e_100yr,tonnes,annual,77083.29697264459
AFG,2025,power,co2e_100yr,tonnes,annual,2921894.575330384
AFG,2025,transportation,co2e_100yr,tonnes,annual,12710451.437801337
AFG,2025,waste,co2e_100yr,tonnes,annual,5460363.32281285
AFG,2026,agriculture,co2e_100yr,tonnes,annual,4516977.206667004
AFG,2026,buildings,co2e_100yr,tonnes,annual,476463.1736474112
AFG,2026,fluorinated-gases,co2e_100yr,tonnes,annual,277998.85104724986
AFG,2026,forestry-and-land-use,co2e_100yr,tonnes,annual,893.8204208775003
AFG,2026,fossil-fuel-operations,co2e_100yr,tonnes,annual,393043.1102278185
AFG,2026,manufacturing,co2e_100yr,tonnes,annual,1125738.0529964224
AFG,2026,mineral-extraction,co2e_100yr,tonnes,annual,19270.824243161147
AFG,2026,power,co2e_100yr,tonnes,annual,764369.653133936
AFG,2026,transportation,co2e_100yr,tonnes,annual,3171357.723241348
AFG,2026,waste,co2e_100yr,tonnes,annual,1416391.554575972
AGO,2015,agriculture,co2e_100yr,tonnes,annual,12617788.987269456
AGO,2015,buildings,co2e_100yr,tonnes,annual,7715647.9546362795
AGO,2015,fluorinated-gases,co2e_100yr,tonnes,annual,326506.90380799986
AGO,2015,forestry-and-land-use,co2e_100yr,tonnes,annual,-201428218.62785184
AGO,2015,fossil-fuel-operations,co2e_100yr,tonnes,annual,52277887.27896363
AGO,2015,manufacturing,co2e_100yr,tonnes,annual,8239103.693178541
AGO,2015,mineral-extraction,co2e_100yr,tonnes,annual,523.0
AGO,2015,power,co2e_100yr,tonnes,annual,6656938.807053724
AGO,2015,transportation,co2e_100yr,tonnes,annual,18254598.255139593
AGO,2015,waste,co2e_100yr,tonnes,annual,3344195.2477463605
AGO,2016,agriculture,co2e_100yr,tonnes,annual,12749724.081857203
AGO,2016,buildings,co2e_100yr,tonnes,annual,7413567.4256720925
AGO,2016,fluorinated-gases,co2e_100yr,tonnes,annual,371445.385554
AGO,2016,forestry-and-land-use,co2e_100yr,tonnes,annual,-604134184.7209285
AGO,2016,fossil-fuel-operations,co2e_100yr,tonnes,annual,52400942.98102589
AGO,2016,manufacturing,co2e_100yr,tonnes,annual,7375075.505274221
AGO,2016,mineral-extraction,co2e_100yr,tonnes,annual,552.0
AGO,2016,power,co2e_100yr,tonnes,annual,6812237.727156173
AGO,2016,transportation,co2e_100yr,tonnes,annual,18201157.72572681
AGO,2016,waste,co2e_100yr,tonnes,annual,3435259.476946255
AGO,2017,agriculture,co2e_100yr,tonnes,annual,12523389.585553443
AGO,2017,buildings,co2e_100yr,tonnes,annual,7635812.105842759
AGO,2017,fluorinated-gases,co2e_100yr,tonnes,annual,415804.0144779997
AGO,2017,forestry-and-land-use,co2e_100yr,tonnes,annual,230441315.50136787
AGO,2017,fossil-fuel-operations,co2e_100yr,tonnes,annual,54859494.37069504
AGO,2017,manufacturing,co2e_100yr,tonnes,annual,5092778.079009623
AGO,2017,mineral-extraction,co2e_100yr,tonnes,annual,579.0
AGO,2017,power,co2e_100yr,tonnes,annual,4589873.4231411535
AGO,2017,transportation,co2e_100yr,tonnes,annual,15991855.681640074
AGO,2017,waste,co2e_100yr,tonnes,annual,3527266.489945925
AGO,2018,agriculture,co2e_100yr,tonnes,annual,12463568.775833402
AGO,2018,buildings,co2e_100yr,tonnes,annual,7561206.354040194
AGO,2018,fluorinated-gases,co2e_100yr,tonnes,annual,470112.8891879997
AGO,2018,forestry-and-land-use,co2e_100yr,tonnes,annual,170234904.66303664
AGO,2018,fossil-fuel-operations,co2e_100yr,tonnes,annual,51040338.53942053
AGO,2018,manufacturing,co2e_100yr,tonnes,annual,5805476.173663992
AGO,2018,mineral-extraction,co2e_100yr,tonnes,annual,596.0
AGO,2018,power,co2e_100yr,tonnes,annual,3974582.286369087
AGO,2018,transportation,co2e_100yr,tonnes,annual,16650871.735018719
AGO,2018,waste,co2e_100yr,tonnes,annual,3632178.908782349
AGO,2019,agriculture,co2e_100yr,tonnes,annual,12407954.859554857
AGO,2019,buildings,co2e_100yr,tonnes,annual,8264524.395321801
AGO,2019,fluorinated-gases,co2e_100yr,tonnes,annual,517981.55461999984
AGO,2019,forestry-and-land-use,co2e_100yr,tonnes,annual,164369946.451203
AGO,2019,fossil-fuel-operations,co2e_100yr,tonnes,annual,48218690.86488199
AGO,2019,manufacturing,co2e_100yr,tonnes,annual,5626721.964053407
AGO,2019,mineral-extraction,co2e_100yr,tonnes,annual,613.0
AGO,2019,power,co2e_100yr,tonnes,annual,4470106.010851339
AGO,2019,transportation,co2e_100yr,tonnes,annual,18763705.161462765
AGO,2019,waste,co2e_100yr,tonnes,annual,3755614.598214372
AGO,2020,agriculture,co2e_100yr,tonnes,annual,12932996.473593522
AGO,2020,buildings,co2e_100yr,tonnes,annual,7346100.2075555315
AGO,2020,fluorinated-gases,co2e_100yr,tonnes,annual,566826.9406859997
AGO,2020,forestry-and-land-use,co2e_100yr,tonnes,annual,-455752120.65942585
AGO,2020,fossil-fuel-operations,co2e_100yr,tonnes,annual,45984729.76923835
AGO,2020,manufacturing,co2e_100yr,tonnes,annual,4960493.524042267
AGO,2020,mineral-extraction,co2e_100yr,tonnes,annual,640.0
AGO,2020,power,co2e_100yr,tonnes,annual,4281227.674819865
AGO,2020,transportation,co2e_100yr,tonnes,annual,10076600.335513178
AGO,2020,waste,co2e_100yr,tonnes,annual,3886577.0969616594
AGO,2021,agriculture,co2e_100yr,tonnes,annual,12967202.526702566
AGO,2021,buildings,co2e_100yr,tonnes,annual,8181204.065897468
AGO,2021,fluorinated-gases,co2e_100yr,tonnes,annual,617167.9136439997
AGO,2021,forestry-and-land-use,co2e_100yr,tonnes,annual,-78956976.72779614
AGO,2021,fossil-fuel-operations,co2e_100yr,tonnes,annual,40314924.096357256
AGO,2021,manufacturing,co2e_100yr,tonnes,annual,4308135.048178444
AGO,2021,mineral-extraction,co2e_100yr,tonnes,annual,663.0
AGO,2021,power,co2e_100yr,tonnes,annual,4332407.255433993
AGO,2021,transportation,co2e_100yr,tonnes,annual,17672032.56745877
AGO,2021,waste,co2e_100yr,tonnes,annual,4026939.087952374
AGO,2022,agriculture,co2e_100yr,tonnes,annual,13092872.870495304
AGO,2022,buildings,co2e_100yr,tonnes,annual,9126924.937087549
AGO,2022,fluorinated-gases,co2e_100yr,tonnes,annual,666186.2600239996
AGO,2022,forestry-and-land-use,co2e_100yr,tonnes,annual,-361184499.9012598
AGO,2022,fossil-fuel-operations,co2e_100yr,tonnes,annual,39880068.82060469
AGO,2022,manufacturing,co2e_100yr,tonnes,annual,6124455.12134409
AGO,2022,mineral-extraction,co2e_100yr,tonnes,annual,685.0
AGO,2022,power,co2e_100yr,tonnes,annual,4424927.449696358
AGO,2022,transportation,co2e_100yr,tonnes,annual,18185560.206025995
AGO,2022,waste,co2e_100yr,tonnes,annual,4163962.0803483143
AGO,2023,agriculture,co2e_100yr,tonnes,annual,13247508.723747132
AGO,2023,buildings,co2e_100yr,tonnes,annual,9442208.652729986
AGO,2023,fluorinated-gases,co2e_100yr,tonnes,annual,715587.8223339998
AGO,2023,forestry-and-land-use,co2e_100yr,tonnes,annual,558591504.1560303
AGO,2023,fossil-fuel-operations,co2e_100yr,tonnes,annual,40111589.30321933
AGO,2023,manufacturing,co2e_100yr,tonnes,annual,6081281.789736157
AGO,2023,mineral-extraction,co2e_100yr,tonnes,annual,707.0
AGO,2023,power,co2e_100yr,tonnes,annual,4425037.207967499
AGO,2023,transportation,co2e_100yr,tonnes,annual,18340985.265210688
AGO,2023,waste,co2e_100yr,tonnes,annual,4275294.516462444
AGO,2024,agriculture,co2e_100yr,tonnes,annual,13227219.268857807
AGO,2024,buildings,co2e_100yr,tonnes,annual,9703997.085830348
AGO,2024,fluorinated-gases,co2e_100yr,tonnes,annual,764797.7810999998
AGO,2024,forestry-and-land-use,co2e_100yr,tonnes,annual,15652956.42788584
AGO,2024,fossil-fuel-operations,co2e_100yr,tonnes,annual,37224784.40007946
AGO,2024,manufacturing,co2e_100yr,tonnes,annual,6400783.701703157
AGO,2024,mineral-extraction,co2e_100yr,tonnes,annual,729.0
AGO,2024,power,co2e_100yr,tonnes,annual,4437756.389109063
AGO,2024,transportation,co2e_100yr,tonnes,annual,18435494.685217556
AGO,2024,waste,co2e_100yr,tonnes,annual,4393499.20607083
AGO,2025,agriculture,co2e_100yr,tonnes,annual,13194607.565610923
AGO,2025,buildings,co2e_100yr,tonnes,annual,9965485.21121635
AGO,2025,fluorinated-gases,co2e_100yr,tonnes,annual,764797.7810999996
AGO,2025,forestry-and-land-use,co2e_100yr,tonnes,annual,701198667.8586121
AGO,2025,fossil-fuel-operations,co2e_100yr,tonnes,annual,35569506.12976925
AGO,2025,manufacturing,co2e_100yr,tonnes,annual,6440022.207308699
AGO,2025,mineral-extraction,co2e_100yr,tonnes,annual,729.0
AGO,2025,power,co2e_100yr,tonnes,annual,4425201.389109063
AGO,2025,transportation,co2e_100yr,tonnes,annual,18505157.1312463
AGO,2025,waste,co2e_100yr,tonnes,annual,4504489.29431263
AGO,2026,agriculture,co2e_100yr,tonnes,annual,3288940.135456992
AGO,2026,buildings,co2e_100yr,tonnes,annual,2420082.1643080865
AGO,2026,fluorinated-gases,co2e_100yr,tonnes,annual,191199.4452749999
AGO,2026,forestry-and-land-use,co2e_100yr,tonnes,annual,11619.1403126775
AGO,2026,fossil-fuel-operations,co2e_100yr,tonnes,annual,8963758.912690625
AGO,2026,manufacturing,co2e_100yr,tonnes,annual,1758679.3401669394
AGO,2026,mineral-extraction,co2e_100yr,tonnes,annual,178.74120309948918
AGO,2026,power,co2e_100yr,tonnes,annual,1128720.5483383578
AGO,2026,transportation,co2e_100yr,tonnes,annual,4550602.696317537
AGO,2026,waste,co2e_100yr,tonnes,annual,1131010.6689042088
AIA,2015,agriculture,co2e_100yr,tonnes,annual,0.0
AIA,2015,buildings,co2e_100yr,tonnes,annual,1010.2778681771149
AIA,2015,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
AIA,2015,forestry-and-land-use,co2e_100yr,tonnes,annual,-12229.988401477105
AIA,2015,fossil-fuel-operations,co2e_100yr,tonnes,annual,388.1093449999998
AIA,2015,manufacturing,co2e_100yr,tonnes,annual,0.7239930000285679
AIA,2015,mineral-extraction,co2e_100yr,tonnes,annual,0.0
AIA,2015,power,co2e_100yr,tonnes,annual,96141.09155540577
AIA,2015,transportation,co2e_100yr,tonnes,annual,47354.42152769999
AIA,2015,waste,co2e_100yr,tonnes,annual,3821.5014123442343
AIA,2016,agriculture,co2e_100yr,tonnes,annual,0.0
AIA,2016,buildings,co2e_100yr,tonnes,annual,1049.0715039935217
AIA,2016,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
AIA,2016,forestry-and-land-use,co2e_100yr,tonnes,annual,9389.634087649116
AIA,2016,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
AIA,2016,manufacturing,co2e_100yr,tonnes,annual,0.7311120000288489
AIA,2016,mineral-extraction,co2e_100yr,tonnes,annual,0.0
